Category,Description,Price,Notes,Link,,,,
,F4183 - 1/8 X 3 - 6061-T6511 Aluminum Flat,$11 ,"24"" of 1/8"" thick aluminum that is 3"" wide. ",,,,,
,F4144 - 1/4 X 4 - 6061-T6511 Aluminum Flat,$23 ,"24"" of 1/4"" thick aluminum that is 4"" wide. ",,,,,
,A3414  4X4X1/4 6061-T6 Aluminum Angle,$24 ,"24"" of 1/4"" thick 4"" x 4"" alumimum angle",,,,,
,,$25 ,,,,,,
,,,,,,,,
Hardware,,,,,,,,
,"2 M8 bolts with washers, lock washers and nuts to mount the cylinder foot flange to the aluminum",$20 ,"For around $20, you can get a set of M6, M8, and M10 bolts with washers, lock washers and nuts",https://www.amazon.com/FANJURNEY-Stainless-Screws-Washers-Assortment/dp/B09PHKM2B2/,,,,
,M8 bolt with washer and nut to connect the tie rod to the clevis on the cylinder - 40 or 50mm long bolt. ,,,,,,,
,"M6 bolts with washers for mounting the motor. The JC63 takes (3) 20mm M6 bolts, the 100w takes (4) 30mm bolts. ",,,,,,,
,,,,,,,,
,,,,,,,,
Reciever,,,,,,,,
,"Polycarbonate Tubing, 2 1/4"" ID x 2 1/2"" OD x 1/8"" Wall, Clear 36"" L",$30 ,"You likely won't need more than 12"" per receiver. I got 36"" initially to try out  different designs. This is much thicker than the commercial receivers I've seen. DO NOT GET ACRYLIC",https://www.amazon.com/gp/product/B000OMJ5D2,,,,
,Vynil caps,$5 ,Match the ID of the caps with the OD of the tube.  The caps stretch a tiny bit.,https://www.amazon.com/gp/product/B07PFQM2XB/,,,,
,"plastic one way valves (3/8"")",$10 ,The are typically used in aquariums. Cut the ends off and use silicone adhesive to mount it in the cap. Much better than the ones that come with receivers.,https://smile.amazon.com/gp/product/B08FJ1TSSJ,,,,
,"quick connect for tubing with thread (1/4"" NPT)",,You should have extra from the tubing kit to use here. ,,,,,
,venus liner,,"I suggest to get the liner from Venus. You can make manyh modifications to it, but the Venus strore is a great price.",,,,,
,,,,,,,,
,,,,,,,,
Tools -  suggested,,,,,,,,
,Step drill bit - 1mm increments from 3 to  14mm. M35 Cobalt,$11 ,"HSS bits are fine for aluminum, this M35 step bit just makes drilling holes easier.",https://smile.amazon.com/dp/B09369W575,,,,
,1/4 NPT tap and drill set,$5 ,"It helps to be able to make NPT threaded holes, but only required if you're make your own receiver",https://www.amazon.com/gp/product/B01MDV3A30,,,,
,,,,,,,,
,,,,,,,,
Compact Cylinder Option - replaces SDA,,,,,,,,
,          SDA model - only LB style foot flange is readily available,,,,,,,
,Aicosineg Compact Thin Air Cylinder 63mm Bore 90mm stroke,$30 ,"Prices fluctuate wildly - Amazon defaults this to $30, but they are currently available for $16 if you select another vendor. The Othmro brand had them for $7, but currently are at $25. On Amazon now, an Othmro SDA63 with 80mm stroke is $15. Anm SDA80 with 90mm stroke is $12.",https://smile.amazon.com/Othmro-Cylinder-Stroke-Aluminium-Penumatic/dp/B081CMT896,,,,
,,,,https://smile.amazon.com/Othmro-Cylinder-Stroke-Aluminium-Penumatic/dp/B081CMT896,,,,
,Pneumatic LB Foot Mounting Clevis For SDA,$5 ,"For a pair, does not come with screws. Match your cylinder bore size.",https://www.aliexpress.com/item/33008263878.html,,,,
,,,,,,,,
,"            ACQ model - Similar to SDA, with more options",,,,,,,
,Airtac Mounting Accessory: F-ACQ63LB,$5 ,This might be for 2 and also might come with mounting screws,https://trimantec.com/collections/all/products/airtac-mounting-accessory-f-acq63lb?variant=13993726738485,,,,
,"Airtac ACQ: Compact Air Cylinder, Double Acting - ACQ63X100T",$58 ,"I like Trimantec, but there are much cheaper options - you can find SDA63 cylinders with a 90 or 100mm stroke for around $25.",https://trimantec.com/collections/all/products/airtac-acq-double-acting-compact-air-cylinder-acq63x100t?variant=13992106655797,,,,
,,,,,,,,
,These cylinders use M10 female threaded rods - replace the M16 clevis on the SDA50 with an M8 clevis using an M10 to M8 double threaded stud to connect to the 8mm tie rod. Or use an M10 tie rod and M10 clevis.,,,,,,,
,,,,,,,,
,,,,,,,,
Cost saving options,,,,,,,,
,Adjustable Power Supply Adapter AC 100-240V to DC 3-12V 5A,$16 ,"This replaces the AC DC switched power supply, the motor controller, the switch with fuse and the power cable which is  $39.",https://www.amazon.com/dp/B083GG2H6R/,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
"Motor Controller - wireless, LCD diagnostic display, programatic / app driven",,,,,,,,
,400w dual MOSFET driver,,,,,,,
,ESP32 processor,,,,,,,
,12v dc power plug - 5.5 x 2.1 female,,,,,,,
,12v 5 amp power supply with 5.5x2.1,,,,,,,
,"1.3"" OLED screen – optional",,,,,,,
,12v to 5v converter to power ESP32,,Can supply some ESP with 12v,,,,,
,small 15x19mm switch,,,,,,,
,male cables to connect (aviation or dc?),,,,,,,
,4mm + thread lock ,,,,,,,
,3D printed parts,,,,,,,
